"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R10,R3,R5,R2,R1,R4";"R_0402_1005Metric";6;"10k";;;
2;"JP1";"SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm";1;"Jumper_2_Open";;;
3;"J2";"PinHeader_1x05_P2.54mm_Vertical";1;"Conn_01x05_Pin";;;
4;"R9,R8";"R_0402_1005Metric";2;"0";;;
5;"J1";"USB_Micro-B_Amphenol_10118194_Horizontal";1;"USB_B_Micro";;;
6;"C8,C7,C5";"C_0402_1005Metric";3;"0.1";;;
7;"U6,U2,U8,U4";"8x8";4;"KWM-30881CVB";;;
8;"C3,C2,C1,C4";"C_0402_1005Metric";4;"0.1uF";;;
9;"U5,U1,U3,U7";"SOIC-24W_7.5x15.4mm_P1.27mm";4;"MAX7221xWG";;;
10;"U10";"SOT-23-5";1;"AP2112K-3.3";;;
11;"R7,R6";"R_0402_1005Metric";2;"1k";;;
12;"C6";"C_0402_1005Metric";1;"10";;;
13;"U9";"ESP32-C3-MINI-1";1;"C3Mini";;;
