Comment,Designator,Footprint,LCSC
10k,R10,R_0402_1005Metric,
Jumper_2_Open,JP1,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,
Conn_01x05_Pin,J2,PinHeader_1x05_P2.54mm_Vertical,
0,R9,R_0402_1005Metric,
0,R8,R_0402_1005Metric,
USB_B_Micro,J1,USB_Micro-B_Amphenol_10118194_Horizontal,
0.1,C8,C_0402_1005Metric,
0.1,C7,C_0402_1005Metric,
0.1uF,C3,C_0402_1005Metric,
10k,R3,R_0402_1005Metric,
MAX7221xWG,U5,SOIC-24W_7.5x15.4mm_P1.27mm,
AP2112K-3.3,U10,SOT-23-5,
MAX7221xWG,U1,SOIC-24W_7.5x15.4mm_P1.27mm,
1k,R7,R_0402_1005Metric,
1k,R6,R_0402_1005Metric,
10k,R5,R_0402_1005Metric,
10k,R2,R_0402_1005Metric,
10k,R1,R_0402_1005Metric,
10,C6,C_0402_1005Metric,
0.1,C5,C_0402_1005Metric,
0.1uF,C2,C_0402_1005Metric,
0.1uF,C1,C_0402_1005Metric,
0.1uF,C4,C_0402_1005Metric,
10k,R4,R_0402_1005Metric,
MAX7221xWG,U3,SOIC-24W_7.5x15.4mm_P1.27mm,
MAX7221xWG,U7,SOIC-24W_7.5x15.4mm_P1.27mm,
C3Mini,U9,ESP32-C3-MINI-1,
