Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C7, C8, C9",0402,8,0.1uF,
C6,0402,1,10uF,
J1,USB_Micro-B_Amphenol_10104110_Horizontal,1,USB_B_Micro,
"J10, J3, J4, J5, J6, J7, J8, J9",PinSocket_1x08_P2.54mm_Vertical,8,Conn_01x08_Socket,
J2,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05_Pin,
JP1,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,1,Jumper_2_Open,
"R1, R10, R2, R3, R4, R5, R6",0402,7,10k,
R7,0402,1,1k,
"R8, R9",0402,2,0,
"U1, U3, U5, U7",SOIC-24W_7.5x15.4mm_P1.27mm,4,MAX7221xWG,
U10,SOT-23-5,1,AP2112K-3.3,
"U2, U4, U6, U8",8x8,4,KWM-30881CVB,
U9,ESP32-C3-MINI-1,1,ESP32-C3-MINI-1,
